Id,Name,Code
1,Abkhazian,ab
2,Afar,aa
3,Afrikaans,af
4,Akan,ak
5,Albanian,sq
6,Amharic,am
7,Arabic,ar
8,Aragonese,an
9,Armenian,hy
10,Assamese,as
11,Avaric,av
12,Avestan,ae
13,Aymara,ay
14,Azerbaijani,az
15,Bambara,bm
16,Bashkir,ba
17,Basque,eu
18,Belarusian,be
19,Bengali,bn
20,Bislama,bi
21,Bosnian,bs
22,Breton,br
23,Bulgarian,bg
24,Burmese,my
25,Catalan,ca
26,Chamorro,ch
27,Chechen,ce
28,Chichewa,ny
29,Chinese,zh
30,Church Slavonic,cu
31,Chuvash,cv
32,Cornish,kw
33,Corsican,co
34,Cree,cr
35,Croatian,hr
36,Czech,cs
37,Danish,da
38,Divehi,dv
39,Dutch,nl
40,Dzongkha,dz
41,English,en
42,Esperanto,eo
43,Estonian,et
44,Ewe,ee
45,Faroese,fo
46,Fijian,fj
47,Finnish,fi
48,French,fr
49,Western Frisian,fy
50,Fulah,ff
51,Gaelic,gd
52,Galician,gl
53,Ganda,lg
54,Georgian,ka
55,German,de
56,Greek,el
57,Kalaallisut,kl
58,Guarani,gn
59,Gujarati,gu
60,Haitian,ht
61,Hausa,ha
62,Hebrew,he
63,Herero,hz
64,Hindi,hi
65,Hiri Motu,ho
66,Hungarian,hu
67,Icelandic,is
68,Ido,io
69,Igbo,ig
70,Indonesian,id
71,Interlingua,ia
72,Interlingue,ie
73,Inuktitut,iu
74,Inupiaq,ik
75,Irish,ga
76,Italian,it
77,Japanese,ja
78,Javanese,jv
79,Kannada,kn
80,Kanuri,kr
81,Kashmiri,ks
82,Kazakh,kk
83,Central Khmer,km
84,Kikuyu,ki
85,Kinyarwanda,rw
86,Kirghiz,ky
87,Komi,kv
88,Kongo,kg
89,Korean,ko
90,Kuanyama,kj
91,Kurdish,ku
92,Lao,lo
93,Latin,la
94,Latvian,lv
95,Limburgan,li
96,Lingala,ln
97,Lithuanian,lt
98,Luba-Katanga,lu
99,Luxembourgish,lb
100,Macedonian,mk
101,Malagasy,mg
102,Malay,ms
103,Malayalam,ml
104,Maltese,mt
105,Manx,gv
106,Maori,mi
107,Marathi,mr
108,Marshallese,mh
109,Mongolian,mn
110,Nauru,na
111,Navajo,nv
112,North Ndebele,nd
113,South Ndebele,nr
114,Ndonga,ng
115,Nepali,ne
116,Norwegian,no
117,Norwegian Bokmål,nb
118,Norwegian Nynorsk,nn
119,Sichuan Yi,ii
120,Occitan,oc
121,Ojibwa,oj
122,Oriya,or
123,Oromo,om
124,Ossetian,os
125,Pali,pi
126,Pashto,ps
127,Persian,fa
128,Polish,pl
129,Portuguese,pt
130,Punjabi,pa
131,Quechua,qu
132,Romanian,ro
133,Romansh,rm
134,Rundi,rn
135,Russian,ru
136,Northern Sami,se
137,Samoan,sm
138,Sango,sg
139,Sanskrit,sa
140,Sardinian,sc
141,Serbian,sr
142,Shona,sn
143,Sindhi,sd
144,Sinhala,si
145,Slovak,sk
146,Slovenian,sl
147,Somali,so
148,Southern Sotho,st
149,Spanish,es
150,Sundanese,su
151,Swahili,sw
152,Swati,ss
153,Swedish,sv
154,Tagalog,tl
155,Tahitian,ty
156,Tajik,tg
157,Tamil,ta
158,Tatar,tt
159,Telugu,te
160,Thai,th
161,Tibetan,bo
162,Tigrinya,ti
163,Tonga,to
164,Tsonga,ts
165,Tswana,tn
166,Turkish,tr
167,Turkmen,tk
168,Twi,tw
169,Uighur,ug
170,Ukrainian,uk
171,Urdu,ur
172,Uzbek,uz
173,Venda,ve
174,Vietnamese,vi
175,Volapük,vo
176,Walloon,wa
177,Welsh,cy
178,Wolof,wo
179,Xhosa,xh
180,Yiddish,yi
181,Yoruba,yo
182,Zhuang,za
183,Zulu,zu
